iter	Passed	Remaining
0	0	61
1	1	57
2	1	54
3	2	53
4	2	51
5	3	49
6	3	49
7	4	49
8	8	88
9	9	83
10	9	78
11	10	74
12	10	71
13	11	68
14	11	65
15	11	62
16	12	60
17	12	58
18	13	56
19	13	54
20	13	52
21	14	50
22	14	49
23	15	47
24	15	46
25	15	45
26	16	44
27	16	42
28	17	41
29	17	40
30	17	39
31	18	38
32	18	37
33	19	37
34	19	36
35	19	35
36	20	34
37	20	33
38	21	32
39	21	32
40	21	31
41	22	30
42	22	29
43	22	29
44	23	28
45	23	27
46	23	27
47	24	26
48	24	25
49	25	25
50	25	24
51	25	23
52	26	23
53	26	22
54	26	22
55	27	21
56	27	20
57	28	20
58	28	19
59	28	19
60	29	18
61	29	18
62	30	17
63	30	17
64	30	16
65	31	16
66	31	15
67	32	15
68	32	14
69	32	14
70	33	13
71	33	13
72	34	12
73	34	12
74	35	11
75	35	11
76	35	10
77	36	10
78	36	9
79	36	9
80	37	8
81	37	8
82	38	7
83	38	7
84	38	6
85	39	6
86	39	5
87	40	5
88	40	5
89	40	4
90	41	4
91	41	3
92	42	3
93	42	2
94	42	2
95	43	1
96	43	1
97	44	0
98	44	0
99	44	0
