iter	Passed	Remaining
0	0	548
1	1	536
2	1	532
3	2	528
4	2	522
5	3	528
6	3	524
7	4	534
8	4	532
9	5	525
10	5	518
11	6	513
12	6	506
13	7	502
14	7	497
15	7	491
16	8	487
17	8	484
18	9	495
19	10	500
20	10	497
21	11	504
22	12	511
23	12	519
24	13	520
25	13	523
26	14	523
27	15	522
28	15	520
29	16	519
30	16	516
31	17	514
32	17	513
33	18	511
34	18	510
35	18	508
36	19	506
37	19	504
38	20	501
39	20	499
40	21	497
41	21	495
42	22	495
43	22	494
44	23	493
45	23	494
46	24	495
47	25	499
48	25	500
49	26	498
50	27	502
51	27	508
52	28	509
53	28	507
54	29	505
55	29	502
56	30	500
57	30	499
58	31	498
59	31	497
60	32	496
61	32	495
62	33	494
63	33	493
64	34	491
65	34	489
66	35	489
67	35	488
68	36	487
69	36	488
70	37	488
71	37	486
72	38	494
73	39	495
74	40	497
75	40	496
76	41	495
77	41	495
78	42	499
79	43	500
80	43	499
81	44	497
82	44	493
83	45	493
84	45	492
85	46	490
86	46	489
87	47	488
88	47	487
89	48	485
90	48	484
91	48	483
92	49	481
93	49	480
94	50	479
95	50	478
96	51	478
97	51	477
98	52	475
99	52	474
100	53	472
101	53	471
102	54	470
103	54	470
104	55	470
105	55	469
106	56	468
107	56	466
108	57	467
109	57	468
110	58	470
111	59	469
112	59	467
113	60	466
114	60	465
115	60	464
116	61	462
117	61	461
118	62	460
119	62	459
120	63	458
121	63	456
122	63	455
123	64	454
124	64	453
125	65	452
126	65	451
127	66	450
128	66	450
129	67	449
130	67	450
131	68	449
132	68	449
133	69	450
134	70	450
135	70	450
136	71	449
137	72	450
138	72	451
139	73	451
140	74	451
141	74	449
142	74	448
143	75	448
144	75	447
145	76	446
146	76	445
147	77	444
148	77	443
149	78	443
150	78	442
151	79	441
152	79	441
153	80	440
154	80	439
155	80	438
156	81	437
157	81	436
158	82	435
159	82	434
160	83	432
161	83	431
162	84	432
163	84	432
164	85	433
165	86	432
166	86	433
167	87	434
168	88	435
169	89	434
170	89	433
171	90	433
172	90	432
173	91	432
174	91	431
175	91	430
176	92	429
177	92	429
178	93	428
179	93	428
180	94	427
181	95	427
182	95	426
183	96	426
184	96	425
185	96	424
186	97	423
187	97	422
188	98	421
189	98	420
190	99	420
191	99	420
192	100	419
193	100	418
194	101	418
195	101	418
196	102	418
197	103	419
198	104	419
199	104	418
200	105	417
201	105	417
202	106	416
203	106	415
204	107	415
205	107	414
206	107	413
207	108	413
208	109	412
209	109	412
210	110	412
211	110	412
212	111	411
213	111	410
214	112	410
215	112	409
216	113	408
217	113	408
218	114	407
219	114	407
220	115	407
221	115	406
222	116	405
223	116	405
224	117	405
225	118	405
226	119	405
227	119	405
228	120	404
229	120	403
230	121	402
231	121	402
232	121	401
233	122	400
234	122	400
235	123	399
236	123	398
237	124	398
238	124	397
239	125	397
240	125	396
241	126	395
242	126	395
243	127	394
244	127	394
245	128	393
246	128	392
247	129	392
248	130	392
249	130	391
250	131	391
251	131	390
252	132	390
253	132	390
254	133	390
255	134	389
256	134	389
